Name,Title,Description
mzmsFile,Mass Spectrometry File,"Upload an mzML, mzXML, h5, or ThermoFisher raw file."
mzmsHandle,MS File Handle Name,Enter the filename of the MS file. Hse forward slashes. The default working directory the PSpecteR folder.
mzmsHandleGo,Use MS File Handle,"If the file path is real and an acceptable MS file, this button will load the file into the app."
mzmsHandleClear,Clear MS File Handle,This button will clear away any loaded MS files and any inputted file handles. 
idFile,Protein ID File,Upload an mzid file that matches the MS file.
idHandle,ID File Handle Name,Enter the filename of the ID file. Use forward slashes. The default working directory is the PSpecteR folder.
idHandleGo,Use ID File Handle,"If the file path is real and an acceptable ID file, this button will load the file into the app."
idHandleClear,Clear ID File Handle,This button will clear any loaded ID files and any inputted file handles.
fastaFile,Fasta Database File,"Upload a fasta file (fa, FA, fasta, or FASTA) to generate an ID file or to visualize where identified peptide sequences map to proteins."
fastaHandle,FA File Handle Name,Enter the filename of the FA file. Use forward slashes. The default working directory is the PSpecteR folder.
fastaHandleGo,Use FA File Handle,"If the file path is real and an acceptable FA file, this button will load the file into the app."
fastaHandleClear,Clear FA File Handle,This button will clear any loaded FA files and any inputted file handles.
outputDirChoose,Select Output Directory,Search and select a folder to be the output directory.
outputHandle,Output Folder Name,Enter the path of the output folder. Use forward slashes. The default output directory is Downloads.
outputHandleGo,Use Output Handle,"If the folder path is real, this button will select that folder as the output folder."
outputHandleClear,Clear Output Handle,This button will clear the current selection of the output folder and automatically move the output folder back to the default Downloads folder. 
ionGroups,Fragment Type,"Choose which ion types to plot. Ions are automatically selected by activation method. HCD - b, y. CID - a, b, y. ETD - b, c, y, z. UVPD - a, b, c, x, y, z."
ManageIons,Manage Ions (Add Mass Modified Ions),Add mass modified ions as potential ion types to match 
ssTolerance,Fragment Tolerance,Select how close (+/-) experimental fragmentation m/z values must be to theoretical m/z values.
ssIntenMin,Intensity Minimum,Select the minimum permissable value for intensity.
ssIsoPerMin,Minimum Isotopic %,"Select the minimum isotopic percentage. For example, if a fragment has an isotope with m/z values 333.5, 334.5, and 335.5, and isotopic percentages of 80%, 15%, and 5%, respectively, a minimum percentage of 10% will remove the 335.5 m/z isotope."
ssCorrScoreFilter,Minimum Correlation Score,Select the minimum correlation score value. Note that all peaks will be visualized when 'ALL’ is selected
ssAnnoSize,Set Label Size,Change the size of the labels when annotations are enabled.
